benchmark	status	openmp	unique_shared_lines
DRB001-antidep1-orig-yes	OK_RUN	yes	3
DRB002-antidep1-var-yes	OK_RUN	yes	2
DRB003-antidep2-orig-yes	OK_RUN	yes	4
DRB004-antidep2-var-yes	OK_RUN	yes	3
DRB005-indirectaccess1-orig-yes	OK_RUN	yes	3
DRB006-indirectaccess2-orig-yes	OK_RUN	yes	3
DRB007-indirectaccess3-orig-yes	OK_RUN	yes	3
DRB008-indirectaccess4-orig-yes	OK_RUN	yes	3
DRB009-lastprivatemissing-orig-yes	OK_RUN	yes	3
DRB010-lastprivatemissing-var-yes	OK_RUN	yes	3
DRB011-minusminus-orig-yes	OK_RUN	yes	4
DRB012-minusminus-var-yes	OK_RUN	yes	3
DRB013-nowait-orig-yes	OK_RUN	yes	2
DRB014-outofbounds-orig-yes	OK_RUN	yes	3
DRB015-outofbounds-var-yes	OK_RUN	yes	3
DRB016-outputdep-orig-yes	OK_RUN	yes	4
DRB017-outputdep-var-yes	OK_RUN	yes	4
DRB018-plusplus-orig-yes	OK_RUN	yes	3
DRB019-plusplus-var-yes	OK_RUN	yes	3
DRB020-privatemissing-var-yes	OK_RUN	yes	3
DRB021-reductionmissing-orig-yes	TIMEOUT	yes	0
DRB022-reductionmissing-var-yes	TIMEOUT	yes	0
DRB023-sections1-orig-yes	OK_RUN	yes	2
DRB024-simdtruedep-orig-yes	OK_RUN	yes	0
DRB025-simdtruedep-var-yes	OK_RUN	yes	0
DRB026-targetparallelfor-orig-yes	OK_RUN	yes	2
DRB027-taskdependmissing-orig-yes	OK_RUN	yes	5
DRB028-privatemissing-orig-yes	OK_RUN	yes	4
DRB029-truedep1-orig-yes	OK_RUN	yes	3
DRB030-truedep1-var-yes	OK_RUN	yes	2
DRB031-truedepfirstdimension-orig-yes	TIMEOUT	yes	0
DRB032-truedepfirstdimension-var-yes	TIMEOUT	yes	0
DRB033-truedeplinear-orig-yes	OK_RUN	yes	2
DRB034-truedeplinear-var-yes	OK_RUN	yes	2
DRB035-truedepscalar-orig-yes	OK_RUN	yes	4
DRB036-truedepscalar-var-yes	OK_RUN	yes	3
DRB037-truedepseconddimension-orig-yes	TIMEOUT	yes	0
DRB038-truedepseconddimension-var-yes	TIMEOUT	yes	0
DRB039-truedepsingleelement-orig-yes	OK_RUN	yes	3
DRB040-truedepsingleelement-var-yes	OK_RUN	yes	2
DRB041-3mm-parallel-no	LINK_FAIL	yes	0
DRB042-3mm-tile-no	LINK_FAIL	yes	0
DRB043-adi-parallel-no	LINK_FAIL	yes	0
DRB044-adi-tile-no	LINK_FAIL	yes	0
DRB045-doall1-orig-no	OK_RUN	yes	0
DRB046-doall2-orig-no	OK_RUN	yes	0
DRB047-doallchar-orig-no	OK_RUN	yes	0
DRB048-firstprivate-orig-no	OK_RUN	yes	2
DRB049-fprintf-orig-no	OK_RUN	yes	3
DRB050-functionparameter-orig-no	OK_RUN	yes	3
DRB051-getthreadnum-orig-no	OK_RUN	yes	0
DRB052-indirectaccesssharebase-orig-no	OK_RUN	yes	3
DRB053-inneronly1-orig-no	OK_RUN	yes	2
DRB054-inneronly2-orig-no	TIMEOUT	yes	0
DRB055-jacobi2d-parallel-no	LINK_FAIL	yes	0
DRB056-jacobi2d-tile-no	LINK_FAIL	yes	0
DRB057-jacobiinitialize-orig-no	TIMEOUT	yes	0
DRB058-jacobikernel-orig-no	TIMEOUT	yes	0
DRB059-lastprivate-orig-no	OK_RUN	yes	1
DRB060-matrixmultiply-orig-no	TIMEOUT	yes	0
DRB061-matrixvector1-orig-no	OK_RUN	yes	1
DRB062-matrixvector2-orig-no	TIMEOUT	yes	0
DRB063-outeronly1-orig-no	OK_RUN	yes	2
DRB064-outeronly2-orig-no	OK_RUN	yes	2
DRB065-pireduction-orig-no	TIMEOUT	yes	0
DRB066-pointernoaliasing-orig-no	OK_RUN	yes	5
DRB067-restrictpointer1-orig-no	OK_RUN	yes	2
DRB068-restrictpointer2-orig-no	OK_RUN	yes	2
DRB069-sectionslock1-orig-no	OK_RUN	yes	3
DRB070-simd1-orig-no	OK_RUN	yes	0
DRB071-targetparallelfor-orig-no	OK_RUN	yes	2
DRB072-taskdep1-orig-no	OK_RUN	yes	5
DRB073-doall2-orig-yes	OK_RUN	yes	2
DRB074-flush-orig-yes	OK_RUN	yes	3
DRB075-getthreadnum-orig-yes	OK_RUN	yes	1
DRB076-flush-orig-no	OK_RUN	yes	1
DRB077-single-orig-no	OK_RUN	yes	0
DRB078-taskdep2-orig-no	OK_RUN	yes	5
DRB079-taskdep3-orig-no	OK_RUN	yes	8
DRB080-func-arg-orig-yes	OK_RUN	yes	2
DRB081-func-arg-orig-no	OK_RUN	yes	3
DRB082-declared-in-func-orig-yes	OK_RUN	yes	1
DRB083-declared-in-func-orig-no	OK_RUN	yes	0
DRB084-threadprivatemissing-orig-yes	OK_RUN	yes	3
DRB085-threadprivate-orig-no	OK_RUN	yes	7
DRB088-dynamic-storage-orig-yes	OK_RUN	yes	3
